1,Julius Randle,PF,71,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6,81.1,10.2,6,0.9,0.3,3.4,41,6,19.73
2,James Harden,SG,44,36.6,24.6,7.8,16.7,46.6,2.8,7.6,36.2,6.3,7.3,86.1,7.9,10.8,1.2,0.8,4,32,12,24.58
3,Fred VanVleet,SG,52,36.5,19.6,6.5,16.7,38.9,3.3,9.2,36.6,3.3,3.7,88.5,4.2,6.3,1.7,0.7,1.8,5,0,16.88
4,Russell Westbrook,PG,65,36.4,22.2,8.4,19,43.9,1.3,4.2,31.5,4.2,6.4,65.6,11.5,11.7,1.4,0.4,4.8,59,38,19.52
5,Harrison Barnes,SF,58,36.2,16.1,5.5,11.1,49.7,1.7,4.4,39.1,3.4,4.1,83,6.6,3.5,0.7,0.2,1.6,6,0,15.43
6,Domantas Sabonis,PF,62,36,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,12,6.7,1.2,0.5,3.4,48,9,20.64
7,Pascal Siakam,PF,56,35.8,21.4,7.8,17.2,45.5,1.3,4.4,29.7,4.4,5.4,82.7,7.2,4.5,1.1,0.7,2.3,13,1,17.77
8,Damian Lillard,PG,67,35.8,28.8,9,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,4.2,7.5,0.9,0.3,3,16,0,25.65
9,Bradley Beal,SG,60,35.8,31.3,11.2,23,48.5,2.2,6.2,34.9,6.8,7.7,88.9,4.7,4.4,1.2,0.4,3.1,4,0,22.81
10,Jayson Tatum,SF,64,35.8,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,7.4,4.3,1.2,0.5,2.7,15,1,21.32
11,Jamal Murray,PG,48,35.5,21.2,7.9,16.5,47.7,2.7,6.6,40.8,2.8,3.2,86.9,4,4.8,1.3,0.3,2.3,1,0,18.33
12,Collin Sexton,PG,60,35.3,24.3,8.8,18.4,47.5,1.6,4.4,37.1,5.2,6.4,81.5,3.1,4.4,1,0.2,2.8,1,0,18.06
13,De'Aaron Fox,PG,58,35.1,25.2,9.1,19.1,47.7,1.8,5.5,32.2,5.2,7.2,71.9,3.5,7.2,1.5,0.5,3,11,0,20.74
14,Zach LaVine,SG,58,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,5,4.9,0.8,0.5,3.5,3,0,21.62
15,Kyrie Irving,PG,54,34.9,26.9,10.2,20.1,50.6,2.8,7,40.2,3.7,4,92.2,4.8,6,1.4,0.7,2.4,8,0,24.51
16,RJ Barrett,SG,72,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,5.8,3,0.7,0.3,1.9,5,0,13.5
17,Kyle Lowry,PG,46,34.8,17.2,5.7,13,43.6,2.8,7.2,39.6,3,3.5,87.5,5.4,7.3,1,0.3,2.7,9,2,16.49
18,Nikola Jokic,C,72,34.6,26.4,10.2,18,56.6,1.3,3.3,38.8,4.8,5.5,86.8,10.8,8.3,1.3,0.7,3.1,60,16,31.36
19,Terry Rozier,SG,69,34.5,20.4,7.4,16.4,45,3.2,8.3,38.9,2.4,2.9,81.7,4.4,4.2,1.3,0.4,1.9,5,0,17.15
