1,Stephen Curry,GSW,63.00,34.20,7.08,0.10,7.18,19.05
2,LeBron James,LAL,45.00,33.40,4.63,2.10,6.73,11.91
3,Rudy Gobert,UTA,71.00,30.80,-1.45,8.00,6.55,16.52
4,Paul George,LAC,54.00,33.70,1.55,3.89,5.45,11.98
5,Giannis Antetokounmpo,MIL,61.00,33.00,3.89,1.20,5.09,14.03
6,Nikola Jokic,DEN,72.00,34.60,3.12,1.96,5.08,15.85
7,Joel Embiid,PHI,51.00,31.10,2.04,2.98,5.02,10.01
8,James Harden,BKN,44.00,36.60,3.99,0.98,4.97,9.94
9,Damian Lillard,POR,67.00,35.80,3.88,1.09,4.97,14.55
10,Lonzo Ball,NOP,55.00,31.80,3.19,1.27,4.46,10.06
11,Mike Conley,UTA,51.00,29.40,1.25,3.12,4.37,8.28
12,Fred VanVleet,TOR,52.00,36.50,1.27,2.78,4.05,10.67
13,Kyle Lowry,TOR,46.00,34.80,2.90,1.12,4.02,8.98
14,Kevin Durant,BKN,35.00,33.10,4.07,-0.11,3.95,6.06
15,Devonte' Graham,CHA,55.00,30.20,1.92,1.97,3.88,9.24
16,CJ McCollum,POR,47.00,34.00,2.09,1.78,3.87,8.42
17,Ben Simmons,PHI,58.00,32.40,1.28,2.39,3.67,9.80
18,Chris Paul,PHX,70.00,31.40,0.48,3.06,3.54,10.78
19,Jamal Murray,DEN,48.00,35.50,0.41,3.07,3.48,8.04
20,Kyrie Irving,BKN,54.00,34.90,2.96,0.49,3.44,9.16
21,Jimmy Butler,MIA,52.00,33.60,1.50,1.90,3.40,8.70
22,Julius Randle,NYK,71.00,37.60,-0.76,4.16,3.40,12.36
23,Joe Harris,BKN,69.00,31.00,-0.60,4.00,3.40,10.14
24,Clint Capela,ATL,63.00,30.10,-1.63,4.98,3.35,9.12
25,Zion Williamson,NOP,61.00,33.20,1.07,2.13,3.20,9.45
26,Christian Wood,HOU,41.00,32.30,0.54,2.60,3.14,6.19
27,Bam Adebayo,MIA,64.00,33.50,-0.77,3.78,3.01,9.56
28,Luka Doncic,DAL,66.00,34.30,2.44,0.51,2.96,10.37
29,Duncan Robinson,MIA,72.00,31.40,-0.56,3.45,2.89,10.04
30,Terry Rozier,CHA,69.00,34.50,1.29,1.59,2.88,10.77
31,Jaylen Brown,BOS,58.00,34.50,2.10,0.71,2.81,9.39
32,Danny Green,PHI,69.00,28.00,-0.87,3.67,2.80,8.28
33,De'Aaron Fox,SAC,58.00,35.10,2.92,-0.27,2.66,8.85
34,Kyle Anderson,MEM,69.00,27.30,0.16,2.44,2.60,7.82
35,Jrue Holiday,MIL,59.00,32.30,1.80,0.77,2.57,8.64
36,Kawhi Leonard,LAC,52.00,34.10,1.46,1.10,2.55,7.55
37,Donovan Mitchell,UTA,53.00,33.40,3.26,-0.76,2.50,7.52
38,Zach LaVine,CHI,58.00,35.10,1.82,0.65,2.47,8.78
39,Tobias Harris,PHI,62.00,32.50,-0.20,2.65,2.45,8.21
40,Jayson Tatum,BOS,64.00,35.80,1.06,1.39,2.44,9.60
41,Donte DiVincenzo,MIL,66.00,27.50,0.66,1.71,2.36,7.57
42,Bogdan Bogdanovic,ATL,44.00,29.70,2.16,0.14,2.30,5.62
43,Buddy Hield,SAC,71.00,34.30,0.60,1.66,2.26,9.38
44,Devin Booker,PHX,67.00,33.90,1.02,1.21,2.23,8.72
45,Trae Young,ATL,63.00,33.70,2.36,-0.14,2.22,8.16
46,Mikal Bridges,PHX,72.00,32.60,-0.36,2.56,2.21,8.98
47,Jonas Valanciunas,MEM,62.00,28.30,-0.49,2.68,2.19,6.62
48,John Collins,ATL,63.00,29.30,-0.14,2.28,2.15,6.92
49,Russell Westbrook,WAS,65.00,36.40,1.99,0.05,2.03,8.98
50,Bojan Bogdanovic,UTA,72.00,30.80,0.48,1.49,1.97,8.24
51,Malcolm Brogdon,IND,56.00,34.50,0.62,1.35,1.97,7.07
52,Khris Middleton,MIL,68.00,33.40,1.22,0.74,1.95,8.75
53,Reggie Bullock,NYK,65.00,30.00,-1.80,3.74,1.94,6.21
54,Domantas Sabonis,IND,62.00,36.00,-0.52,2.46,1.93,8.06
55,Anthony Davis,LAL,36.00,32.30,0.27,1.66,1.93,4.05
56,Bradley Beal,WAS,60.00,35.80,2.76,-0.86,1.90,8.09
57,Kemba Walker,BOS,43.00,31.80,2.17,-0.30,1.88,4.96
59,Jae Crowder,PHX,60.00,27.50,-0.26,2.00,1.74,5.85
60,Joe Ingles,UTA,67.00,27.90,1.91,-0.22,1.70,7.17
61,Brook Lopez,MIL,70.00,27.20,-0.87,2.56,1.69,6.74
62,Jordan Poole,GSW,51.00,19.40,3.21,-1.59,1.62,3.64
63,Karl-Anthony Towns,MIN,50.00,33.80,1.83,-0.28,1.55,5.68
64,Michael Porter Jr,DEN,61.00,31.30,0.56,0.87,1.43,5.91
65,Dillon Brooks,MEM,67.00,29.80,0.11,1.31,1.42,6.23
66,Derrick White,SAS,36.00,29.60,1.37,0.03,1.41,3.41
67,Myles Turner,IND,47.00,31.00,-2.13,3.53,1.40,4.40
68,Deandre Ayton,PHX,69.00,30.70,-1.84,3.22,1.38,6.33
69,Evan Fournier,BOS,42.00,30.00,1.18,0.16,1.35,3.98
70,Jerami Grant,DET,54.00,33.90,-0.02,1.37,1.35,5.74
71,Andrew Wiggins,GSW,71.00,33.30,-1.40,2.72,1.31,7.31
72,Dejounte Murray,SAS,67.00,31.90,-1.01,2.30,1.29,6.40
73,Brandon Ingram,NOP,61.00,34.30,0.55,0.73,1.28,6.22
74,Kristaps Porzingis,DAL,43.00,30.90,0.73,0.54,1.27,3.97
75,Victor Oladipo,MIA,33.00,32.70,0.75,0.49,1.24,3.29
76,Wayne Ellington,DET,46.00,22.00,1.15,0.09,1.24,2.99
77,Patrick Beverley,LAC,37.00,22.50,-0.30,1.54,1.24,2.33
78,OG Anunoby,TOR,43.00,33.30,-0.46,1.68,1.22,4.21
79,Pascal Siakam,TOR,56.00,35.80,-0.51,1.72,1.22,6.00
