1,Stephen Curry,43006362,43006362
2,Russell Westbrook,41358814,41358814
2,Chris Paul,41358814,41358814
4,John Wall,41254920,41254920
4,James Harden,41254920,41254920
6,Kevin Durant,40108950,40108950
7,LeBron James,39219566,39219566
8,Paul George,35450412,35450412
10,Mike Conley,34502132,34502132
11,Jimmy Butler,34379100,34379100
11,Kawhi Leonard,34379100,34379100
11,Kemba Walker,34379100,34379100
14,Tobias Harris,34358850,34358850
15,Blake Griffin,33900241,33900241
16,Kyrie Irving,33722850,33722850
17,Khris Middleton,33051724,33051724
18,Anthony Davis,32742000,32742000
19,Damian Lillard,31626953,31626953
20,Kevin Love,31258256,31258256
21,Pascal Siakam,30559200,30559200
21,Ben Simmons,30559200,30559200
23,Kyle Lowry,30500000,30500000
24,Steven Adams,29592695,29592695
25,Joel Embiid,29542010,29542010
25,Andrew Wiggins,29542010,29542010
25,Nikola Jokic,29542010,29542010
28,Devin Booker,29467800,29467800
28,Karl-Anthony Towns,29467800,29467800
28,Kristaps Porzingis,29467800,29467800
31,CJ McCollum,29354152,29354152
32,Bradley Beal,28751774,28751774
32,Andre Drummond,28751774,28751774
34,D'Angelo Russell,28649250,28649250
35,Gordon Hayward,28500000,28500000
36,Otto Porter Jr,28489239,28489239
37,DeMar DeRozan,27739975,27739975
38,Giannis Antetokounmpo,27528088,27528088
39,Rudy Gobert,27525281,27525281
40,Al Horford,27500000,27500000
41,Brandon Ingram,27285000,27285000
41,Jamal Murray,27285000,27285000
43,Jrue Holiday,27026011,27026011
44,Nikola Vucevic,26000000,26000000
45,Jaylen Brown,25035118,25035118
46,Buddy Hield,24931817,24931817
47,Draymond Green,22246956,22246956
48,Harrison Barnes,22215909,22215909
49,Fred VanVleet,21250000,21250000
50,Victor Oladipo,21000000,21000000
51,Malcolm Brogdon,20700000,20700000
52,Julius Randle,19845000,19845000
53,Domantas Sabonis,19800000,19800000
54,Gary Harris,19610714,19610714
55,Zach LaVine,19500000,19500000
55,Danilo Gallinari,19500000,19500000
57,Jerami Grant,19050000,19050000
58,Tim Hardaway Jr,18975000,18975000
59,Terry Rozier,18900000,18900000
60,Aaron Gordon,18136364,18136364
61,Goran Dragic,18000000,18000000
61,Myles Turner,18000000,18000000
61,Bogdan Bogdanovic,18000000,18000000
61,Clint Capela,18000000,18000000
65,Bojan Bogdanovic,17850000,17850000
66,LaMarcus Aldridge,17628340,17628340
68,Evan Fournier,17150000,17150000
69,Ricky Rubio,17000000,17000000
70,Eric Bledsoe,16875000,16875000
71,Eric Gordon,16869267,16869267
72,Caris LeVert,16203704,16203704
73,Joe Harris,16071429,16071429
74,James Johnson,16047100,16047100
75,Dennis Schroder,15500000,15500000
76,Cody Zeller,15415730,15415730
77,Danny Green,15365853,15365853
78,Davis Bertans,15000000,15000000
78,Andre Iguodala,15000000,15000000
78,Jonas Valanciunas,15000000,15000000
81,Marcus Morris Sr.,14883721,14883721
82,Rudy Gay,14500000,14500000
83,Kelly Oubre Jr,14375000,14375000
84,Dejounte Murray,14286000,14286000
85,Will Barton,13723214,13723214
86,Thaddeus Young,13545000,13545000
87,Patty Mills,13535714,13535714
88,Terrence Ross,13500000,13500000
89,Malik Beasley,13425895,13425895
90,Patrick Beverley,13333333,13333333
91,Christian Wood,13015874,13015874
92,JJ Redick,13013700,13013700
93,Justise Winslow,13000000,13000000
94,Marcus Smart,12946428,12946428
95,Jusuf Nurkic,12888889,12888889
96,Kelly Olynyk,12819650,12819650
